Imagem,Tipo_Ruido,Intensidade,Entropia,Complexidade
Lena,Gaussian,0.0,0.9207115698897212,0.10536614050293279
Lena,Gaussian,0.1,0.9886698753849136,0.02309579897829064
Lena,Gaussian,0.2,0.9888530497797109,0.022786107667380737
Lena,Gaussian,0.3,0.9889339120298957,0.022678324136620288
Lena,Gaussian,0.4,0.9883722856016418,0.023756337962691377
Lena,Gaussian,0.5,0.9880387796916441,0.02448552753636108
Lena,Gaussian,0.6,0.9883784247983599,0.023772368988157846
Lena,Gaussian,0.7,0.9882281653673223,0.02408129032344841
Rocket,Gaussian,0.0,0.7926255741659001,0.21964143376464018
Rocket,Gaussian,0.1,0.9881508420741554,0.02424745468587709
Rocket,Gaussian,0.2,0.9880283620464168,0.024542814471123896
Rocket,Gaussian,0.3,0.987430874294956,0.025748152472693714
Rocket,Gaussian,0.4,0.987720798329264,0.02511458368057655
Rocket,Gaussian,0.5,0.9881378922230339,0.02426069475349417
Rocket,Gaussian,0.6,0.9873606807702404,0.02584990350755013
Rocket,Gaussian,0.7,0.9880699392769676,0.024429208152556486
Chess,Gaussian,0.0,0.05566440900797892,0.053944541454031714
Chess,Gaussian,0.1,0.9892768557355942,0.022110137658432425
Chess,Gaussian,0.2,0.9889042389883712,0.022752997858397444
Chess,Gaussian,0.3,0.9891099461299665,0.022276238472756827
Chess,Gaussian,0.4,0.9886932891237329,0.02313886763211815
Chess,Gaussian,0.5,0.9890171133625477,0.022466553467816144
Chess,Gaussian,0.6,0.9881843775861101,0.024200350341282845
Chess,Gaussian,0.7,0.9883606290242711,0.02387168254779147
Lena,sp,0.0,0.9207115698897212,0.10536614050293279
Lena,sp,0.1,0.921603530374343,0.12090110260633304
Lena,sp,0.2,0.8809619080425181,0.18682676134535484
Lena,sp,0.3,0.8208600473496528,0.25928179852695477
Lena,sp,0.4,0.7158280908436028,0.34411608028312485
Lena,sp,0.5,0.49019071292814775,0.41459336806423286
Rocket,sp,0.0,0.7926255741659001,0.21964143376464018
Rocket,sp,0.1,0.8268023821368142,0.2372395301826216
Rocket,sp,0.2,0.7866378414979827,0.3047092011252822
Rocket,sp,0.3,0.7236152560424677,0.36764076914922095
Rocket,sp,0.4,0.6449768378016095,0.40964482306890737
Rocket,sp,0.5,0.4902657064897451,0.4146499580197785
Chess,sp,0.0,0.05566440900797892,0.053944541454031714
Chess,sp,0.1,0.48892529930753725,0.34248417505928275
Chess,sp,0.2,0.6618797786563194,0.37728082454952905
Chess,sp,0.3,0.7155293740973452,0.3770990459213001
Chess,sp,0.4,0.6852035137755327,0.39223822436599903
Chess,sp,0.5,0.48997124848504575,0.41442760335543927
Lena,speckle,0.0,0.9207115698897212,0.10536614050293279
Lena,speckle,0.1,0.9423239702312737,0.07052433254706528
Lena,speckle,0.2,0.9400565507225487,0.07555897123092221
Lena,speckle,0.3,0.9422387841452063,0.07094116545773024
Lena,speckle,0.4,0.9438456552088468,0.06809350897089068
Lena,speckle,0.5,0.9441199465928917,0.0673895631047044
Lena,speckle,0.6,0.9448451875459354,0.06595862814058052
Lena,speckle,0.7,0.9453004032783054,0.0650358444839846
Rocket,speckle,0.0,0.7926255741659001,0.21964143376464018
Rocket,speckle,0.1,0.9871514373818862,0.026211074459780322
Rocket,speckle,0.2,0.9839539211542196,0.032731317191278704
Rocket,speckle,0.3,0.9849622122503269,0.030741295947478216
Rocket,speckle,0.4,0.9859690586407264,0.028642647658845746
Rocket,speckle,0.5,0.987176457468512,0.026201275518790465
Rocket,speckle,0.6,0.9881527716963865,0.024252878474291157
Rocket,speckle,0.7,0.9884517666889728,0.023582124404766557
Chess,speckle,0.0,0.05566440900797892,0.053944541454031714
Chess,speckle,0.1,0.9886641600077294,0.023349062068912737
Chess,speckle,0.2,0.9849146220995065,0.030952815503728744
Chess,speckle,0.3,0.9826735782803165,0.035392336075913966
Chess,speckle,0.4,0.9839619182822786,0.032754272381036176
Chess,speckle,0.5,0.9853025494650458,0.03017474523578921
Chess,speckle,0.6,0.9846959511387102,0.03135433370838458
Chess,speckle,0.7,0.9852476219359674,0.030248553027710418
Lena,poisson,0.0,0.9207115698897212,0.10536614050293279
Lena,poisson,0.5,0.9406000542987994,0.07320890878005049
Lena,poisson,1.0,0.9420178613058786,0.07050631935652896
Lena,poisson,2.0,0.9412520861510594,0.07114725950882218
Lena,poisson,4.0,0.9389490333923245,0.07412633720487734
Lena,poisson,8.0,0.9332812814672596,0.08229317924435785
Lena,poisson,16.0,0.9233348132623527,0.09644568828997925
Rocket,poisson,0.0,0.7926255741659001,0.21964143376464018
Rocket,poisson,0.5,0.9877721446171054,0.024932124931314446
Rocket,poisson,1.0,0.9864922863965696,0.027583317209424443
Rocket,poisson,2.0,0.9845453551877962,0.031617750713194614
Rocket,poisson,4.0,0.9808672982715568,0.03902095145059763
Rocket,poisson,8.0,0.9740778986309735,0.05250029869005527
Rocket,poisson,16.0,0.962203558631178,0.07457121785382907
Chess,poisson,0.0,0.05566440900797892,0.053944541454031714
Chess,poisson,0.5,0.9891643309004234,0.022229992638386636
Chess,poisson,1.0,0.9890123096371908,0.022672714284074497
Chess,poisson,2.0,0.9880851262925436,0.024627082769323533
Chess,poisson,4.0,0.9860800571409437,0.028742374141059963
Chess,poisson,8.0,0.9825890158534685,0.03585331935551805
Chess,poisson,16.0,0.9753268818412872,0.050440269847023066
